correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers
1-3-2-5-4	multiple choice	text	asset1.txt	1-3-2-5-4 , 2-3-1-4-5 , 2-1-4-3-5 , 1-2-3-5-4	true
2-3-1-4-5	multiple choice	text	asset2.txt	2-3-1-4-5 , 1-4-3-2-5 , 5-2-1-4-3 , 1-2-4-5-3	true
4-1-5-2-3	multiple choice	text	asset3.txt	4-1-5-2-3 , 3-4-5-1-2 , 4-5-2-1-3 , 4-2-3-5-1	true
4-2-1-3-5	multiple choice	text	asset4.txt	4-2-1-3-5 , 2-1-3-4-5 , 4-5-2-1-3 , 3-1-4-5-2	true
3-5-4-2-1	multiple choice	text	asset5.txt	3-5-4-2-1 , 1-2-3-5-4 , 1-2-5-3-4 , 2-5-4-3-1	true
1-5-2-4-3	multiple choice	text	asset6.txt	1-5-2-4-3 , 5-4-3-1-2 , 4-2-3-1-5 , 2-4-3-1-5	true
2-4-3-5-1	multiple choice	text	asset7.txt	2-4-3-5-1 , 3-1-5-2-4 , 3-2-5-1-4 , 4-3-5-1-2	true
2-4-5-3-1	multiple choice	text	asset8.txt	2-4-5-3-1 , 1-2-3-5-4 , 3-1-4-2-5 , 5-3-2-1-4	true
1-3-2-4-5	multiple choice	text	asset9.txt	1-3-2-4-5 , 1-2-5-4-3 , 4-2-3-1-5 , 4-5-1-3-2	true
5-2-3-4-1	multiple choice	text	asset10.txt	5-2-3-4-1 , 2-5-3-4-1 , 3-1-4-5-2 , 2-4-1-5-3	true
1-4-5-3-2	multiple choice	text	asset11.txt	1-4-5-3-2 , 2-4-1-5-3 , 4-3-5-2-1 , 3-2-4-1-5	true
3-2-1-4-5	multiple choice	text	asset12.txt	3-2-1-4-5 , 4-2-5-1-3 , 5-4-3-1-2 , 5-1-4-3-2	true
1-2-5-4-3	multiple choice	text	asset13.txt	1-2-5-4-3 , 1-3-2-4-5 , 3-1-5-4-2 , 1-4-5-3-2	true
4-2-5-1-3	multiple choice	text	asset14.txt	4-2-5-1-3 , 5-3-4-2-1 , 1-5-4-2-3 , 5-1-3-4-2	true
2-1-3-4-5	multiple choice	text	asset15.txt	2-1-3-4-5 , 4-3-5-1-2 , 3-5-2-1-4 , 3-4-1-5-2	true
1-4-3-5-2	multiple choice	text	asset16.txt	1-4-3-5-2 , 4-2-5-1-3 , 2-5-3-1-4 , 2-3-4-5-1	true
4-2-1-5-3	multiple choice	text	asset17.txt	4-2-1-5-3 , 5-3-4-2-1 , 4-5-2-3-1 , 4-1-2-5-3	true
2-4-5-1-3	multiple choice	text	asset18.txt	2-4-5-1-3 , 3-1-5-4-2 , 4-1-2-3-5 , 1-5-2-4-3	true
2-3-1-4-5	multiple choice	text	asset19.txt	2-3-1-4-5 , 5-2-4-3-1 , 3-5-2-4-1 , 2-5-4-3-1	true
5-4-2-3-1	multiple choice	text	asset20.txt	5-4-2-3-1 , 3-5-4-1-2 , 2-1-5-4-3 , 3-4-1-2-5	true
