correct_answer	answer_type	asset_type	asset	possible_answers	randomized_answers	question
TBD	prediction	image	movie_1.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_2.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_3.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_4.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_5.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_6.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_7.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_8.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_9.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_10.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_11.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_12.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_13.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_14.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_15.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_16.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_17.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_18.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_19.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
TBD	prediction	image	movie_20.png	no answers	FALSE	What will the gross opening for this movie be (in millions USD)?
