correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
Democratic Republic Of Congo	multiple choice	image	Congo.png	"Burma,Democratic Republic Of Congo,Mexico,Russia,Ukraine"	TRUE	Which country does this flag belong to?
Indonesia	multiple choice	image	Indonesia.png	"Angola,Democratic Republic of Congo,Indonesia,Mexico,Thailand"	TRUE	Which country does this flag belong to?
Algeria	multiple choice	image	Algeria.png	"Algeria,Australia,Ethiopia,Spain,Turkey"	TRUE	Which country does this flag belong to?
Iran	multiple choice	image	Iran.png	"Algeria,Chad,Columbia,Iran,Turkmenistan"	TRUE	Which country does this flag belong to?
Mongolia	multiple choice	image	Mongolia.png	"Libya,Mongolia,Nigeria,Poland,Spain"	TRUE	Which country does this flag belong to?
Libya	multiple choice	image	Libya.png	"Afghanistan,Columbia,Indonesia,Libya,Venezuela"	TRUE	Which country does this flag belong to?
United States Of America	multiple choice	image	USA.png	"Australia,France,Ukraine,United States Of America,Yemen"	TRUE	Which country does this flag belong to?
Russia	multiple choice	image	Russia.png	"Egypt,Iraq,Russia,Spain,Sudan"	TRUE	Which country does this flag belong to?
India	multiple choice	image	India.png	"Botswana,Democratic Republic of Congo,India,Mozambique,Vietnam"	TRUE	Which country does this flag belong to?
Saudi Arabia	multiple choice	image	Saudi Arabia.png	"Afghanistan,Burkina Faso,Italy,Pakistan,Saudi Arabia"	TRUE	Which country does this flag belong to?
Argentina	multiple choice	image	Argentina.png	"Kenya,Mali,Argentina,Poland,India"	TRUE	Which country does this flag belong to?
Brazil	multiple choice	image	Brazil.png	"Brazil,Libya,Morocco,Sweden,Uganda"	TRUE	Which country does this flag belong to?
Mexico	multiple choice	image	Mexico.png	"Bolivia,Kenya,Mexico,Norway,Peru"	TRUE	Which country does this flag belong to?
Sudan	multiple choice	image	Sudan.png	"Gabon,Iran,Iraq,South Africa,Sudan"	TRUE	Which country does this flag belong to?
Chad	multiple choice	image	Chad.png	"Chad,Chile,Egypt,Indonesia,Yemen"	TRUE	Which country does this flag belong to?
Kazakhstan	multiple choice	image	Kazakhstan.png	"Botswana,Burkina Faso,Egypt,Kazakhstan,Sweden"	TRUE	Which country does this flag belong to?
Peru	multiple choice	image	Peru.png	"China,France,India,Indonesia,Peru"	TRUE	Which country does this flag belong to?
China	multiple choice	image	China.png	"China,Ecuador,France,Oman,Philippines"	TRUE	Which country does this flag belong to?
Canada	multiple choice	image	Canada.png	"Canada,Chad,Madagascar,Saudi Arabia,Somalia"	TRUE	Which country does this flag belong to?
Australia	multiple choice	image	Australia.png	"Algeria,Angola,Australia,Mauritania,Poland"	TRUE	Which country does this flag belong to?
