correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
1.800	point estimate	text	qn1.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.100	point estimate	text	qn2.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.155	point estimate	text	qn3.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
1.080	point estimate	text	qn4.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
3.250	point estimate	text	qn5.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/load (assume medium load).
0.750	point estimate	text	qn6.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.150	point estimate	text	qn7.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.400	point estimate	text	qn8.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.300	point estimate	text	qn9.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
1.500	point estimate	text	qn10.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
1.600	point estimate	text	qn11.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/load (assume medium load).
0.035	point estimate	text	qn12.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
10.500	point estimate	text	qn13.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.020	point estimate	text	qn14.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.040	point estimate	text	qn15.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/use.
0.150	point estimate	text	qn16.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
0.075	point estimate	text	qn17.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
6.300	point estimate	text	qn18.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/load.
1.500	point estimate	text	qn19.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
3.00	point estimate	text	qn20.txt	no answers	false	Estimate the energy use of the following electrical appliance in kW/hr.
