correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
10337	point estimate	image	KP_1.png	no answers	false	estimate the number of reweets from the following message.
9909	point estimate	image	KP_2.png	no answers	false	estimate the number of reweets from the following message.
10405	point estimate	image	KP_3.png	no answers	false	estimate the number of reweets from the following message.
7505	point estimate	image	KP_4.png	no answers	false	estimate the number of reweets from the following message.
41120	point estimate	image	KP_5.png	no answers	false	estimate the number of reweets from the following message.
9519	point estimate	image	KP_6.png	no answers	false	estimate the number of reweets from the following message.
128482	point estimate	image	KP_7.png	no answers	false	estimate the number of reweets from the following message.
14555	point estimate	image	KP_8.png	no answers	false	estimate the number of reweets from the following message.
7915	point estimate	image	KP_9.png	no answers	false	estimate the number of reweets from the following message.
13880	point estimate	image	KP_10.png	no answers	false	estimate the number of reweets from the following message.
7884	point estimate	image	KP_11.png	no answers	false	estimate the number of reweets from the following message.
10045	point estimate	image	KP_12.png	no answers	false	estimate the number of reweets from the following message.
39172	point estimate	image	KP_13.png	no answers	false	estimate the number of reweets from the following message.
105160	point estimate	image	KP_14.png	no answers	false	estimate the number of reweets from the following message.
26396	point estimate	image	KP_15.png	no answers	false	estimate the number of reweets from the following message.
3356	point estimate	image	KP_16.png	no answers	false	estimate the number of reweets from the following message.
36116	point estimate	image	KP_17.png	no answers	false	estimate the number of reweets from the following message.
8095	point estimate	image	KP_18.png	no answers	false	estimate the number of reweets from the following message.
23080	point estimate	image	KP_19.png	no answers	false	estimate the number of reweets from the following message.
7516	point estimate	image	KP_20.png	no answers	false	estimate the number of reweets from the following message.
