Correct_Answer	Answer_Type	Asset_type	Asset_File	possible_answers	randomize_answers
TBD	point estimate	tsv	match_1.txt	no answer	false
TBD	point estimate	tsv	match_2.txt	no answer	false
TBD	point estimate	tsv	match_3.txt	no answer	false
TBD	point estimate	tsv	match_4.txt	no answer	false
TBD	point estimate	tsv	match_5.txt	no answer	false
TBD	point estimate	tsv	match_6.txt	no answer	false
TBD	point estimate	tsv	match_7.txt	no answer	false
TBD	point estimate	tsv	match_8.txt	no answer	false
TBD	point estimate	tsv	match_9.txt	no answer	false
TBD	point estimate	tsv	match_10.txt	no answer	false
TBD	point estimate	tsv	match_11.txt	no answer	false
TBD	point estimate	tsv	match_12.txt	no answer	false
TBD	point estimate	tsv	match_13.txt	no answer	false
TBD	point estimate	tsv	match_14.txt	no answer	false
TBD	point estimate	tsv	match_15.txt	no answer	false
TBD	point estimate	tsv	match_16.txt	no answer	false
TBD	point estimate	tsv	match_17.txt	no answer	false
TBD	point estimate	tsv	match_18.txt	no answer	false
TBD	point estimate	tsv	match_19.txt	no answer	false
TBD	point estimate	tsv	match_20.txt	no answer	false
TBD	point estimate	tsv	match_21.txt	no answer	false
TBD	point estimate	tsv	match_22.txt	no answer	false
TBD	point estimate	tsv	match_23.txt	no answer	false
TBD	point estimate	tsv	match_24.txt	no answer	false
TBD	point estimate	tsv	match_25.txt	no answer	false
TBD	point estimate	tsv	match_26.txt	no answer	false
TBD	point estimate	tsv	match_27.txt	no answer	false
TBD	point estimate	tsv	match_28.txt	no answer	false
TBD	point estimate	tsv	match_29.txt	no answer	false
TBD	point estimate	tsv	match_30.txt	no answer	false
TBD	point estimate	tsv	match_31.txt	no answer	false
TBD	point estimate	tsv	match_32.txt	no answer	false
TBD	point estimate	tsv	match_33.txt	no answer	false
TBD	point estimate	tsv	match_34.txt	no answer	false
TBD	point estimate	tsv	match_35.txt	no answer	false
TBD	point estimate	tsv	match_36.txt	no answer	false
TBD	point estimate	tsv	match_37.txt	no answer	false
TBD	point estimate	tsv	match_38.txt	no answer	false
TBD	point estimate	tsv	match_39.txt	no answer	false
TBD	point estimate	tsv	match_40.txt	no answer	false
TBD	point estimate	tsv	match_41.txt	no answer	false
TBD	point estimate	tsv	match_42.txt	no answer	false
TBD	point estimate	tsv	match_43.txt	no answer	false
TBD	point estimate	tsv	match_44.txt	no answer	false
TBD	point estimate	tsv	match_45.txt	no answer	false
TBD	point estimate	tsv	match_46.txt	no answer	false
TBD	point estimate	tsv	match_47.txt	no answer	false
TBD	point estimate	tsv	match_48.txt	no answer	false
TBD	point estimate	tsv	match_49.txt	no answer	false
TBD	point estimate	tsv	match_50.txt	no answer	false
TBD	point estimate	tsv	match_51.txt	no answer	false
TBD	point estimate	tsv	match_52.txt	no answer	false
TBD	point estimate	tsv	match_53.txt	no answer	false
TBD	point estimate	tsv	match_54.txt	no answer	false
TBD	point estimate	tsv	match_55.txt	no answer	false
TBD	point estimate	tsv	match_56.txt	no answer	false
TBD	point estimate	tsv	match_57.txt	no answer	false
TBD	point estimate	tsv	match_58.txt	no answer	false
TBD	point estimate	tsv	match_59.txt	no answer	false
TBD	point estimate	tsv	match_60.txt	no answer	false
TBD	point estimate	tsv	match_61.txt	no answer	false
TBD	point estimate	tsv	match_62.txt	no answer	false
TBD	point estimate	tsv	match_63.txt	no answer	false
TBD	point estimate	tsv	match_64.txt	no answer	false
TBD	point estimate	tsv	match_65.txt	no answer	false
TBD	point estimate	tsv	match_66.txt	no answer	false
TBD	point estimate	tsv	match_67.txt	no answer	false
TBD	point estimate	tsv	match_68.txt	no answer	false
TBD	point estimate	tsv	match_69.txt	no answer	false
TBD	point estimate	tsv	match_70.txt	no answer	false
TBD	point estimate	tsv	match_71.txt	no answer	false
TBD	point estimate	tsv	match_72.txt	no answer	false
TBD	point estimate	tsv	match_73.txt	no answer	false
TBD	point estimate	tsv	match_74.txt	no answer	false
TBD	point estimate	tsv	match_75.txt	no answer	false
TBD	point estimate	tsv	match_76.txt	no answer	false
TBD	point estimate	tsv	match_77.txt	no answer	false
TBD	point estimate	tsv	match_78.txt	no answer	false
TBD	point estimate	tsv	match_79.txt	no answer	false
TBD	point estimate	tsv	match_80.txt	no answer	false
TBD	point estimate	tsv	match_81.txt	no answer	false
TBD	point estimate	tsv	match_82.txt	no answer	false
TBD	point estimate	tsv	match_83.txt	no answer	false
TBD	point estimate	tsv	match_84.txt	no answer	false
TBD	point estimate	tsv	match_85.txt	no answer	false
TBD	point estimate	tsv	match_86.txt	no answer	false
TBD	point estimate	tsv	match_87.txt	no answer	false
TBD	point estimate	tsv	match_88.txt	no answer	false
TBD	point estimate	tsv	match_89.txt	no answer	false
TBD	point estimate	tsv	match_90.txt	no answer	false
TBD	point estimate	tsv	match_91.txt	no answer	false
TBD	point estimate	tsv	match_92.txt	no answer	false
TBD	point estimate	tsv	match_93.txt	no answer	false
TBD	point estimate	tsv	match_94.txt	no answer	false
TBD	point estimate	tsv	match_95.txt	no answer	false
TBD	point estimate	tsv	match_96.txt	no answer	false
TBD	point estimate	tsv	match_97.txt	no answer	false
TBD	point estimate	tsv	match_98.txt	no answer	false
TBD	point estimate	tsv	match_99.txt	no answer	false
TBD	point estimate	tsv	match_100.txt	no answer	false
TBD	point estimate	tsv	match_101.txt	no answer	false
TBD	point estimate	tsv	match_102.txt	no answer	false
