Correct Answer	Answer Type	Asset Type	Asset File	Possible Answers	Randomize Answers
"29540000"	Multiple Choice	text file	Question1.txt	"1500,17600,42580000"	TRUE
"53400000"	Multiple Choice	text file	Question2.txt	"2000,42145,38150000"	TRUE
"16813610"	Multiple Choice	text file	Question3.txt	"5005,30000,45258123"	TRUE
"13570860"	Multiple Choice	text file	Question4.txt	"3000,18000,26428741"	TRUE
"11786148"	Multiple Choice	text file	Question5.txt	"500,25000,25000010"	TRUE
"10589110"	Multiple Choice	text file	Question6.txt	"1800,35200,25600101"	TRUE
"56151420"	Multiple Choice	text file	Question7.txt	"9000,50000,35254159"	TRUE
"44812405"	Multiple Choice	text file	Question8.txt	"1000,25000,60854714"	TRUE
"9104333"	Multiple Choice	text file	Question9.txt	"2500,21140,20258845"	TRUE
"9104333"	Multiple Choice	text file	Question10.txt	"2500,21140,35147845"	TRUE
"66443172"	Multiple Choice	text file	Question11.txt	"1200,39000,85582147"	TRUE
"49500847"	Multiple Choice	text file	Question12.txt	"9200,29250,60285741"	TRUE
"20553995"	Multiple Choice	text file	Question13.txt	"9000,50000,35254159"	TRUE
"17256993"	Multiple Choice	text file	Question14.txt	"1400,80258,35365178"	TRUE
"13908427"	Multiple Choice	text file	Question15.txt	"1000,27500,26854714"	TRUE
"9493256"	Multiple Choice	text file	Question16.txt	"1550,17800,25847753"	TRUE
"6895459"	Multiple Choice	text file	Question17.txt	"650,18000,15485235"	TRUE
"54001250"	Multiple Choice	text file	Question18.txt	"9200,29250,60285741"	TRUE
"19985127"	Multiple Choice	text file	Question19.txt	"1440,36005,45823631"	TRUE
"15634258"	Multiple Choice	text file	Question20.txt	"1788,18457,35568954"	TRUE
