correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
61	point estimate	image	celebrity_7.jpg	no answers	false
26	point estimate	image	celebrity_2.jpg	no answers	false
53	point estimate	image	celebrity_16.jpg	no answers	false
61	point estimate	image	celebrity_14.jpg	no answers	false
67	point estimate	image	celebrity_19.jpg	no answers	false
28	point estimate	image	celebrity_12.jpg	no answers	false
39	point estimate	image	celebrity_4.jpg	no answers	false
39	point estimate	image	celebrity_17.jpg	no answers	false
45	point estimate	image	celebrity_8.jpg	no answers	false
38	point estimate	image	celebrity_1.jpg	no answers	false
24	point estimate	image	celebrity_9.jpg	no answers	false
68	point estimate	image	celebrity_20.jpg	no answers	false
33	point estimate	image	celebrity_10.jpg	no answers	false
49	point estimate	image	celebrity_15.jpg	no answers	false
37	point estimate	image	celebrity_18.jpg	no answers	false
48	point estimate	image	celebrity_5.jpg	no answers	false
59	point estimate	image	celebrity_3.jpg	no answers	false
64	point estimate	image	celebrity_11.jpg	no answers	false
47	point estimate	image	celebrity_13.jpg	no answers	false
72	point estimate	image	celebrity_6.jpg	no answers	false
