correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
1-3-4-5-2	multiple choice	image	asset1.jpg	"1-3-4-5-2, 2-3-1-4-5, 2-1-4-3-5, 1-2-3-5-4, 3-1-4-5-2"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
1-4-2-3-5	multiple choice	image	asset2.jpg	"1-4-2-3-5, 1-4-3-2-5, 5-2-1-4-3, 1-2-4-5-3, 2-4-1-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
5-1-3-4-2	multiple choice	image	asset3.jpg	"5-1-3-4-2, 3-4-5-1-2, 4-5-2-1-3, 4-2-3-5-1, 1-4-3-2-5"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
1-3-4-5-2	multiple choice	image	asset4.jpg	"1-3-4-5-2, 2-1-3-4-5, 4-5-2-1-3, 3-1-4-5-2, 2-4-1-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
2-4-1-5-3	multiple choice	image	asset5.jpg	"2-4-1-5-3, 1-2-3-5-4, 1-2-5-3-4, 2-5-4-3-1, 5-4-3-1-2"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
5-1-3-2-4	multiple choice	image	asset6.jpg	"5-1-3-2-4, 5-4-3-1-2, 4-2-3-1-5, 2-4-3-1-5, 1-5-2-4-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
1-3-5-4-2	multiple choice	image	asset7.jpg	"1-3-5-4-2, 3-1-5-2-4, 3-2-5-1-4, 4-3-5-1-2, 4-1-2-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
2-3-5-1-4	multiple choice	image	asset8.jpg	"2-3-5-1-4, 1-2-3-5-4, 3-1-4-2-5, 5-3-2-1-4, 2-1-5-3-4"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
4-5-1-3-2	multiple choice	image	asset9.jpg	"4-5-1-3-2, 1-2-5-4-3, 4-2-3-1-5, 5-4-2-3-1, 5-4-3-1-2"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
2-3-5-4-1	multiple choice	image	asset10.jpg	"2-3-5-4-1, 2-5-3-4-1, 3-1-4-5-2, 2-4-1-5-3, 4-1-2-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
4-5-2-1-3	multiple choice	image	asset11.jpg	"4-5-2-1-3, 2-4-1-5-3, 4-3-5-2-1, 3-2-4-1-5, 2-1-5-3-4"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
4-3-5-2-1	multiple choice	image	asset12.jpg	"4-3-5-2-1, 4-2-5-1-3, 5-4-3-1-2, 5-1-4-3-2, 3-2-5-1-4"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
5-2-1-4-3	multiple choice	image	asset13.jpg	"5-2-1-4-3, 1-3-2-4-5, 3-1-5-4-2, 1-4-5-3-2, 4-1-2-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
3-2-1-5-4	multiple choice	image	asset14.jpg	"3-2-1-5-4, 5-2-4-3-1, 3-5-2-4-1, 2-5-4-3-1, 3-2-5-1-4"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
1-4-3-2-5	multiple choice	image	asset15.jpg	"1-4-3-2-5, 5-3-4-2-1, 1-5-4-2-3, 5-1-3-4-2, 2-1-5-3-4"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
2-1-5-3-4	multiple choice	image	asset16.jpg	"2-1-5-3-4, 3-5-4-1-2, 1-2-5-4-3, 3-4-1-2-5, 2-4-1-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
4-1-2-3-5	multiple choice	image	asset17.jpg	"4-1-2-3-5, 4-3-5-1-2, 3-5-2-1-4, 3-4-1-5-2, 1-5-2-4-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
2-1-5-3-4	multiple choice	image	asset18.jpg	"2-1-5-3-4, 4-2-5-1-3, 2-5-3-1-4, 2-3-4-5-1, 5-4-3-1-2"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
3-4-1-5-2	multiple choice	image	asset19.jpg	"3-4-1-5-2, 5-3-4-2-1, 4-5-2-3-1, 4-1-2-5-3, 1-5-2-4-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
5-3-1-4-2	multiple choice	image	asset20.jpg	"5-3-1-4-2, 3-1-5-4-2, 4-5-3-2-1, 1-5-2-4-3, 2-4-1-5-3"	TRUE	In which chronological order did these events occur? (events on the left occurred earlier).
