correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
divergence	multiple choice	text	question1.txt	divergence,imperfection,heterogeneity,unorthodox,erro	true
accede	multiple choice	text	question2.txt	fulfill,accede,respect,acquire,clone	true
pacify	multiple choice	text	question3.txt	diminish,mitigate,pacify,humour,thrill	true
blatant	multiple choice	text	question4.txt	blatant,abusive,nosy,bold,flaring	true
coax	multiple choice	text	question5.txt	coax,betray,hook,test,acccess	true
frankness	multiple choice	text	question6.txt	artlessness,accurcy,frankness,exactness,plainness	true
acquaintance	multiple choice	text	question7.txt	bold,native,companion,expectant,acquaintance	true
cheapen	multiple choice	text	question8.txt	confuse,incapacitate,cheapen,tire,settle	true
careful	multiple choice	text	question9.txt	careful,active,busy,strenous,tenacious,academic	true
loot	multiple choice	text	question10.txt	convinient,lift,appropriate,harm,loot	true
knowledgeable	multiple choice	text	question11.txt	cultured,knowledgeable,thoughtful,familiarized,polished	true
ferocious	multiple choice	text	question12.txt	ferocious,relentless,bent,rude,primitive	true
craving	multiple choice	text	question13.txt	appeal,craving,avidity,affection,ability	true
discourteous	multiple choice	text	question14.txt	discourteous,forward,analytical,snooping,fresh	true
lazy	multiple choice	text	question15.txt	careless,lazy,slow,useless,creeping	true
addicted	multiple choice	text	question16.txt	rooted,addicted,devoted,constant,lasting	true
bell	multiple choice	text	question17.txt	arena,bell,toll,vigorous,recall	true
flexible	multiple choice	text	question18.txt	jovial,docile,scanty,flexible,plastic	true
cranky	multiple choice	text	question19.txt	cranky,bluff,clashing,small,flat	true
top	multiple choice	text	question20.txt	top,altitude,vertex,head,noon	true
