correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
2736690	point estimate	image	country_landmass_argentina.png	no answers	FALSE	What is this country's landmass?
7633565	point estimate	image	country_landmass_australia.png	no answers	FALSE	What is this country's landmass?
130168	point estimate	image	country_landmass_bangladesh.png	no answers	FALSE	What is this country's landmass?
8460415	point estimate	image	country_landmass_brazil.png	no answers	FALSE	What is this country's landmass?
9093507	point estimate	image	country_landmass_canada.png	no answers	FALSE	What is this country's landmass?
743812	point estimate	image	country_landmass_chile.png	no answers	FALSE	What is this country's landmass?
9326410	point estimate	image	country_landmass_china.png	no answers	FALSE	What is this country's landmass?
640427	point estimate	image	country_landmass_france.png	no answers	FALSE	What is this country's landmass?
348672	point estimate	image	country_landmass_germany.png	no answers	FALSE	What is this country's landmass?
2864021	point estimate	image	country_landmass_india.png	no answers	FALSE	What is this country's landmass?
68883	point estimate	image	country_landmass_ireland.png	no answers	FALSE	What is this country's landmass?
294140	point estimate	image	country_landmass_italy.png	no answers	FALSE	What is this country's landmass?
364485	point estimate	image	country_landmass_japan.png	no answers	FALSE	What is this country's landmass?
1943945	point estimate	image	country_landmass_mexico.png	no answers	FALSE	What is this country's landmass?
856692	point estimate	image	country_landmass_pakistan.png	no answers	FALSE	What is this country's landmass?
16377742	point estimate	image	country_landmass_russia.png	no answers	FALSE	What is this country's landmass?
1214470	point estimate	image	country_landmass_south_africa.png	no answers	FALSE	What is this country's landmass?
62732	point estimate	image	country_landmass_sri_lanka.png	no answers	FALSE	What is this country's landmass?
769632	point estimate	image	country_landmass_turkey.png	no answers	FALSE	What is this country's landmass?
9161966	point estimate	image	country_landmass_usa.png	no answers	FALSE	What is this country's landmass?
