correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers question	
Cadbury Dairy Milk	multiple choice	image	1.jpg	"Cadbury Dairy Milk,Kitkat"	FALSE	Which brand is more popular in India?
Jack Wills	multiple choice	image	2.jpg	"Gap,Jack Wills"	FALSE	Which brand is more popular in the United Kingdom?
Starbucks	multiple choice	image	3.jpg	"Starbucks,Nescafe"	FALSE	Which brand is more popular in the United States?
Dove	multiple choice	image	4.jpg	"Dove,Loreal"	FALSE	Which brand is more popular in India?
Crest	multiple choice	image	5.jpg	"Colgate,Crest"	FALSE	Which brand is more popular in Canada?
Coca cola	multiple choice	image	6.jpg	"Coca cola, Crush"	FALSE	Which brand is more popular in Brazil?
Dominos Pizza	multiple choice	image	7.jpg	"Dominos Pizza,Pizza Hut"	FALSE	Which brand is more popular in Australia?
Pantene	multiple choice	image	8.jpg	"Garnier, Pantene"	FALSE	Which brand is more popular in Pakistan?
Nike	multiple choice	image	9.jpg	"Nike,Puma"	FALSE	Which brand is more popular in Slovakia?
Adidas	multiple choice	image	10.jpg	"Adidas,Asics"	FALSE	Which brand is more popular in Germany?
Reebok	multiple choice	image	11.jpg	"Reebok,Under Armour"	FALSE	Which brand is more popular in Iceland?
Hugo Boss	multiple choice	image	12.jpg	"Tommy Hilfiger, Hugo Boss"	FALSE	Which brand is more popular in Austria?
Versace	multiple choice	image	13.jpg	"Versace, Louis Vuitton"	FALSE	Which brand is more popular in Italy?
Guess	multiple choice	image	14.jpg	"Lacoste, Guess"	FALSE	Which brand is more popular in France?
Burberry	multiple choice	image	15.jpg	"Calvin Klein, Burberry"	FALSE	Which brand is more popular in Singapore?
Armani	multiple choice	image	16.jpg	"Armani, Ralph Lauren"	FALSE	Which brand is more popular in Lebanon?
KFC	multiple choice	image	17.jpg	"KFC, Popeyes"	FALSE	Which brand is more popular in Malaysia?
McDonald's	multiple choice	image	18.jpg	"McDonald's, Burger King "	FALSE	Which brand is more popular in Singapore?
Nat Sherman	multiple choice	image	19.jpg	"Davidoff, Nat Sherman"	FALSE	Which brand is more popular in the United States?
Acer	multiple choice	image	20.jpg	"Acer,Hewlett Packard"	FALSE	Which brand is more popular in Cuba?
