correct_ansewer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	
1.9	point estimate	Image	1_9.png	no answers	FALSE	What is the capacity of this container?
3.8	point estimate	Image	3_8.png	no answers	FALSE	What is the capacity of this container?
3.8	point estimate	Image	3_78.png	no answers	FALSE	What is the capacity of this container?
13.2	point estimate	Image	13_2.png	no answers	FALSE	What is the capacity of this container?
0.06	point estimate	Image	60ml.png	no answers	FALSE	What is the capacity of this container?
0.12	point estimate	Image	120.png	no answers	FALSE	What is the capacity of this container?
0.12	point estimate	Image	120a.png	no answers	FALSE	What is the capacity of this container?
0.21	point estimate	Image	210m.png	no answers	FALSE	What is the capacity of this container?
0.24	point estimate	Image	240.png	no answers	FALSE	What is the capacity of this container?
0.24	point estimate	Image	240a.png	no answers	FALSE	What is the capacity of this container?
0.24	point estimate	Image	250b.png	no answers	FALSE	What is the capacity of this container?
0.25	point estimate	Image	250c.png	no answers	FALSE	What is the capacity of this container?
0.25	point estimate	Image	250m.png	no answers	FALSE	What is the capacity of this container?
0.25	point estimate	Image	250ml.png	no answers	FALSE	What is the capacity of this container?
0.48	point estimate	Image	480.png	no answers	FALSE	What is the capacity of this container?
0.48	point estimate	Image	480b.png	no answers	FALSE	What is the capacity of this container?
0.5	point estimate	Image	500ma.png	no answers	FALSE	What is the capacity of this container?
0.5	point estimate	Image	500mb.png	no answers	FALSE	What is the capacity of this container?
0.5	point estimate	Image	500ml.png	no answers	FALSE	What is the capacity of this container?
0.95	point estimate	Image	950ml.png	no answers	FALSE	What is the capacity of this container?
