correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
1955	multiple choice	image	Ford_img1.jpg	"19,551,975,198,719,900,000"	FALSE	In what year was the car manufactured ?
1993	multiple choice	image	Ford_img2.jpg	"19,891,993,199,619,900,000"	FALSE	In what year was the car manufactured ?
1994	multiple choice	image	Ford_img3.jpg	"19,901,994,200,020,000,000"	FALSE	In what year was the car manufactured ?
1996	multiple choice	image	Ford_img4.jpg	"19,901,993,199,620,000,000"	FALSE	In what year was the car manufactured ?
1997	multiple choice	image	Ford_img5.jpg	"19,911,997,200,120,000,000"	FALSE	In what year was the car manufactured ?
1998	multiple choice	image	Ford_img6.jpg	"19,891,998,200,520,100,000"	FALSE	In what year was the car manufactured ?
2003	multiple choice	image	Ford_img7.jpg	"19,911,999,200,320,000,000"	FALSE	In what year was the car manufactured ?
2005	multiple choice	image	Ford_img8.jpg	"19,781,996,200,520,100,000"	FALSE	In what year was the car manufactured ?
2006	multiple choice	image	Ford_img9.jpg	"19,952,000,200,620,100,000"	FALSE	In what year was the car manufactured ?
2011	multiple choice	image	Ford_img10.jpg	"20,002,005,201,120,100,000"	FALSE	In what year was the car manufactured ?
2014	multiple choice	image	Ford_img11.jpg	"19,952,000,200,920,100,000"	FALSE	In what year was the car manufactured ?
2015	multiple choice	image	Ford_img12.jpg	"19,941,999,200,420,100,000"	FALSE	In what year was the car manufactured ?
1950	multiple choice	image	Ford_img13.jpg	"19,501,965,198,319,900,000"	FALSE	In what year was the car manufactured ?
1975	multiple choice	image	Ford_img14.jpg	"19,601,975,198,519,900,000"	FALSE	In what year was the car manufactured ?
1975	multiple choice	image	Ford_img15.jpg	"19,601,975,198,519,900,000"	FALSE	In what year was the car manufactured ?
2015	multiple choice	image	Ford_img16.jpg	"19,992,003,200,620,100,000"	FALSE	In what year was the car manufactured ?
1980	multiple choice	image	Ford_img17.jpg	"19,601,970,198,019,900,000"	FALSE	In what year was the car manufactured ?
1990	multiple choice	image	Ford_img18.jpg	"19,691,980,199,020,000,000"	FALSE	In what year was the car manufactured ?
2016	multiple choice	image	Ford_img19.jpg	"20,012,004,200,920,100,000"	FALSE	In what year was the car manufactured ?
1930	multiple choice	image	Ford_img20.jpg	"19,301,950,197,019,900,000"	FALSE	In what year was the car manufactured ?
